Sr.No,District (Amphoe),Province (Changwat).,Region
259,Khuan Khanun,Phatthalung,South
260,Khuan Niang,Songkhla,South
261,Khueang Nai,Ubon Ratchathani,North-East
262,Khukhan,Sisaket,North-East
263,Khun Han,Sisaket,North-East
264,Khun Tan,Chiang Rai,North
265,Khun Yuam,Mae Hong Son,North
266,Khura Buri,Phang Nga,South
267,Khwao Sinarin,Surin,North-East
268,Klaeng,Rayong,East
269,Ko Chan,Chonburi,East
270,Ko Chang,Trat,East
271,Ko Kha,Lampang,North
272,Ko Kut,Trat,East
273,Ko Lanta,Krabi,South
274,Ko Pha-ngan,Surat Thani,South
275,Ko Samui,Surat Thani,South
276,Ko Sichang,Chonburi,East
277,Ko Yao,Phang Nga,South
278,Kong Krailat,Sukhothai,Central
279,Kong Ra,Phatthalung,South
280,Kosamphi Nakhon,Kamphaeng Phet,Central
281,Kosum Phisai,Maha Sarakham,North-East
282,Kra Buri,Ranong,South
283,Kranuan,Khon Kaen,North-East
284,Krasae Sin,Songkhla,South
285,Krasang,Buriram,North-East
286,Krathum Baen,Samut Sakhon,Central
287,Krok Phra,Nakhon Sawan,Central
288,Krong Pinang (Malay: Kampung Pinang),Yala,South
289,Ku Kaeo,Udon Thani,North-East
290,Kuchinarai,Kalasin,North-East
291,Kui Buri,Prachuap Khiri Khan,West
292,Kumphawapi,Udon Thani,North-East
293,Kusuman,Sakon Nakhon,North-East
294,Kut Bak,Sakon Nakhon,North-East
295,Kut Chap,Udon Thani,North-East
296,Kut Khaopun,Ubon Ratchathani,North-East
297,Kut Rang,Maha Sarakham,North-East
298,La-ngu,Satun,South
299,La-un,Ranong,South
300,Laem Ngop,Trat,East
301,Laem Sing,Chanthaburi,East
302,Lahan Sai,Buriram,North-East
303,Lam Luk Ka,Pathum Thani,Central
304,Lam Plai Mat,Buriram,North-East
305,Lam Sonthi,Lopburi,Central
306,Lam Thamenchai,Nakhon Ratchasima,North-East
307,Lam Thap,Krabi,South
308,Lamae,Chumphon,South
309,Lamduan,Surin,North-East
310,Lan Krabue,Kamphaeng Phet,Central
311,Lan Sak,Uthai Thani,Central
312,Lan Saka,Nakhon Si Thammarat,South
313,Lang Suan,Chumphon,South
314,Lao Khwan,Kanchanaburi,West
315,Lao Suea Kok,Ubon Ratchathani,North-East
316,Laplae,Uttaradit,North
317,Lat Bua Luang,Ayutthaya,Central
318,Lat Lum Kaeo,Pathum Thani,Central
319,Lat Yao,Nakhon Sawan,Central
320,Li,Lamphun,North
321,Lom Kao,Phetchabun,Central
322,Lom Sak,Phetchabun,Central
323,Long,Phrae,North
324,Lue Amnat,Amnat Charoen,North-East
325,Mae Ai,Chiang Mai,North
326,Mae Charim,Nan,North
327,Mae Chaem,Chiang Mai,North
328,Mae Chai,Phayao,North
329,Mae Chan,Chiang Rai,North
330,Mae Fa Luang,Chiang Rai,North
331,Mae La Noi,Mae Hong Son,North
332,Mae Lan,Pattani,South
333,Mae Lao,Chiang Rai,North
334,Mae Mo,Lampang,North
335,Mae On,Chiang Mai,North
336,Mae Phrik,Lampang,North
337,Mae Poen,Nakhon Sawan,Central
338,Mae Ramat,Tak,West
339,Mae Rim,Chiang Mai,North
340,Mae Sai,Chiang Rai,North
341,Mae Sariang,Mae Hong Son,North
342,Mae Sot,Tak,West
343,Mae Suai,Chiang Rai,North
344,Mae Taeng,Chiang Mai,North
345,"Mae Tha, Lampang",Lampang,North
346,"Mae Tha, Lamphun",Lamphun,North
347,Mae Wang,Chiang Mai,North
348,Mae Wong,Nakhon Sawan,Central
349,Maha Rat,Ayutthaya,Central
350,Mai Kaen,Pattani,South
351,Makham,Chanthaburi,East
352,Manang,Satun,South
353,Mancha Khiri,Khon Kaen,North-East
354,Manorom,Chainat,Central
355,Mayo,Pattani,South
356,Moei Wadi,Roi Et,North-East
357,Muak Lek,Saraburi,Central
358,Muang Sam Sip,Ubon Ratchathani,North-East
359,Mueang Amnat Charoen,Amnat Charoen,North-East
360,Mueang Ang Thong,Ang Thong,Central
361,Mueang Bueng Kan,Bueng Kan,North-East
362,Mueang Buriram,Buriram,North-East
363,Mueang Chachoengsao,Chachoengsao,East
